S.No,State,College Name,University,Management,Estb,Seats
20,Uttar Pradesh,"Government Medical College, Kannauj","King Georges Medical University,Lucknow",State Govt.,2012,100
21,Uttar Pradesh,"Government Medical College, Shahjahanpur","King Georges Medical University,Lucknow",State Govt.,2019,100
22,Uttar Pradesh,"GSVM Medical College, Kanpur","C.S.J.M. University, Kanpur",State Govt.,1955,250
23,Uttar Pradesh,"Institute of Medical Sciences, BHU, Varansi",Banaras Hindu University,Central Govt.,1960,100
24,Uttar Pradesh,"Jawaharlal Nehru Medical College, Aligarh",Aligarh Muslim University,Central Govt.,1961,150
25,Uttar Pradesh,"King George Medical University, Lucknow","King Georges Medical University,Lucknow",State Govt.,1911,250
26,Uttar Pradesh,"LLRM Medical College, Meerut","Ch. Charan Singh Universitiy, Meerut",State Govt.,1966,150
27,Uttar Pradesh,"Moti Lal Nehru Medical College, Allahabad","King Georges Medical University,Lucknow",State Govt.,1961,200
28,Uttar Pradesh,"Maharshi Devraha Baba Autonomous State Medical College, Deoria","Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",State Govt.,2021,100
29,Uttar Pradesh,"Mahamaya Rajkiya Allopathic Medical College, Ambedkarnagar","Dr. Ram Manohar Lohia Avadh University, Faizabad",State Govt.,2011,100
30,Uttar Pradesh,"Maharani Laxmi Bai Medical College, Jhansi",Bundelkhand University,State Govt.,1968,150
31,Uttar Pradesh,"Rajkiya Allopathic Medical College, Bahraich","King Georges Medical University,Lucknow",State Govt.,2019,100
32,Uttar Pradesh,"Uttar PradeshRajkiya Medical College Jalaun, Orai","C.S.J.M. University, Kanpur",State Govt.,2013,100
33,Uttar Pradesh,"Shaikh-UL-Hind Maulana Mahmood Hasan Medical College, Saharanpur","Ch. Charan Singh Universitiy, Meerut",State Govt.,2015,100
34,Uttar Pradesh,"S.N.Medical College, Agra","Dr B R Ambedkar University,Agra, U.P.",State Govt.,1939,200
35,Uttar Pradesh,Uma Nath Singh Autonomous State Medical College Society Jaunpur,"Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",State Govt.,2021,100
36,Uttar Pradesh,"Uttar Pradesh University of Medical Sciences, (Prev. UP Rural Inst.of Med.Sc&R) Etawah","Uttar Pradesh University of Medical Sciences, Etawah",State Govt.,2006,200
37,Uttar Pradesh,"Autonomous State Medical College, Lalitpur","Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",State Govt.,2024,100
38,Uttar Pradesh,"Autonomous State Medical College, Akbarpur","Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",State Govt.,2024,100
39,Uttar Pradesh,Autonomous State Medical College and Hospital Kaushambi,"Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",State Govt.,2024,100
40,Uttar Pradesh,Autonomous State Medical College Sultanpur,"Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",State Govt.,2024,100
41,Uttar Pradesh,Autonomous State Medical College Kushinagar,"Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",State Govt.,2024,100
42,Uttar Pradesh,Autonomous State Medical College Pilibhit,"Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",State Govt.,2024,100
43,Uttar Pradesh,"Mahatma Vidur Autonomous State Medical College, Bijnor","Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",State Govt.,2024,100
44,Uttar Pradesh,"Kalyan Singh Government Medical College, Hospital and Kasturba Mahila Chikitsalaya, Bulandshahr","Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",State Govt.,2024,100
45,Uttar Pradesh,Autonomous State Medical College and Hospital Auraiya,"Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",State Govt.,2024,100
46,Uttar Pradesh,Autonomous State Medical College and Hospital Gonda,"Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",State Govt.,2024,100
47,Uttar Pradesh,Autonomous State Medical College and Hospital Lakhimpuri kheri,"Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",State Govt.,2024,100
48,Uttar Pradesh,"Baba Kina Ram Autonomous State Medical College and Hospital, Kamalangar, Distt. Chandauil","Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",State Govt.,2024,100
49,Uttar Pradesh,"Autonomous State Medical College, Amethi","Atal Bihari Vajpayee Medical University, Lucknow, Uttar Pradesh",State Govt.,2025,100
50,Uttar Pradesh,"ESIC Medical College and Hospital, Noida","Ch. Charan Singh Universitiy, Meerut",Central Govt.,2025,50
51,Uttar Pradesh,"ESIC Medical College and Hospital, varanasi",,Central Govt.,2025,50
1,West Bengal,"AIIMS, Kalyani, Nadia","Statutory Autonomous, AIIMS(New Delhi)",Cetral Govt.,2019,125
2,West Bengal,ESI PGI MSR AND ESIC MEDICA L COLLEG E JOKA KOLKATA,"West Bengal University of Health Sciences,Kolkata",Cetral Govt.,2013,125
3,West Bengal,"Bankura Sammilani Medical College, Bankura","West Bengal University of Health Sciences,Kolkata",State Govt.,1956,200
4,West Bengal,BARASAT GOVERNMENT MEDICAL COLLEGE AND HOSPITAL,"West Bengal University of Health Sciences,Kolkata",State Govt.,2022,100
5,West Bengal,"Burdwan Medical College, Burdwan","West Bengal University of Health Sciences,Kolkata",State Govt.,1969,200
6,West Bengal,"Calcutta National Medical College, Kolkata","West Bengal University of Health Sciences,Kolkata",State Govt.,1948,250
7,West Bengal,"College of Medicine and JNM Hospital, Kalyani, Nadia","West Bengal University of Health Sciences,Kolkata",State Govt.,2010,150
8,West Bengal,"College of Medicine and Sagore Dutta Hospital, Kolkata","West Bengal University of Health Sciences,Kolkata",State Govt.,2011,125
9,West Bengal,"Coochbehar Government Medical College & Hospital, Coochbehar","West Bengal University of Health Sciences,Kolkata",State Govt.,2019,150
10,West Bengal,"Deben Mahata Government Medical College & Hospital, Purulia","West Bengal University of Health Sciences,Kolkata",State Govt.,2024,100
11,West Bengal,"Diamond Harbour Government Medical College and Hospital, Diamond Harbour","West Bengal University of Health Sciences,Kolkata",State Govt.,2019,150
12,West Bengal,"Institute of Postgraduate Medical Education & Research, Kolkata","West Bengal University of Health Sciences,Kolkata",State Govt.,1957,200
13,West Bengal,JALPAIGURI GOVERNMENT MEDICAL COLLEGE AND HOSPITAL,"West Bengal University of Health Sciences,Kolkata",State Govt.,2022,100
14,West Bengal,JHARGRAM GOVERNMENT MEDICAL COLLEGE AND HOSPITAL,"West Bengal University of Health Sciences,Kolkata",State Govt.,2022,100
15,West Bengal,"MAHARAJA JITENDRA NARAYAN MEDICAL COLLEGE AND HOSPITAL, COOCHBEHAR","West Bengal University of Health Sciences,Kolkata",State Govt.,2024,100
16,West Bengal,"Malda Medical College & Hospital, Malda","West Bengal University of Health Sciences,Kolkata",State Govt.,2011,125
17,West Bengal,"Medical College, Kolkata","West Bengal University of Health Sciences,Kolkata",State Govt.,1838,250
18,West Bengal,"Midnapore Medical College, Midnapore","West Bengal University of Health Sciences,Kolkata",State Govt.,2001,200
19,West Bengal,"Murshidabad Medical College & Hospitals, Murshidabad","West Bengal University of Health Sciences,Kolkata",State Govt.,2012,125
20,West Bengal,"Nilratan Sircar Medical College, Kolkata","West Bengal University of Health Sciences,Kolkata",State Govt.,1948,250
21,West Bengal,"North Bengal Medical College, Darjeeling","West Bengal University of Health Sciences,Kolkata",State Govt.,1968,200
22,West Bengal,"Prafulla Chandra Sen Government Medical College and Hospital, Arambag, Hooghly","West Bengal University of Health Sciences,Kolkata",State Govt.,2022,100
23,West Bengal,Purulia Government Medical College & Hospital,"West Bengal University of Health Sciences,Kolkata",State Govt.,2020,150
24,West Bengal,"RG Kar Medical College, Kolkata","West Bengal University of Health Sciences,Kolkata",State Govt.,1916,250
25,West Bengal,"Raiganj Government Medical College & Hospital, Raiganj","West Bengal University of Health Sciences,Kolkata",State Govt.,2019,150
26,West Bengal,"Rampurhat Government Medical College & Hospital, Rampurhat","West Bengal University of Health Sciences,Kolkata",State Govt.,2019,150
27,West Bengal,"Sarat Chandra Chattopadhyay Medical College and Hospital, Uluberia city, Howrah","West Bengal University of Health Sciences,Kolkata",State Govt.,2022,100
28,West Bengal,"Tamralipto Government Medical College & Hospital, Tamluk","West Bengal University of Health Sciences,Kolkata",State Govt.,2022,100
