S.No,State,College Name,University,Management,Estb,Seats
33,Maharashtra,"H.B.T. Medical College & Dr. R.N. Cooper Municipal General Hospital, Juhu, Mumbai","Maharashtra University of Health Sciences, Nashik",State Govt.,2015,200
34,Maharashtra,"Indira Gandhi Medical College & Hospital, Nagpur","Maharashtra University of Health Sciences, Nashik",State Govt.,1968,200
35,Maharashtra,"Lokmanya Tilak Municipal Medical College, Sion, Mumbai","Maharashtra University of Health Sciences, Nashik",State Govt.,1964,200
36,Maharashtra,"Rajashree Chatrapati Shahu Maharaj Government Medical College, Kolhapur","Maharashtra University of Health Sciences, Nashik",State Govt.,2001,150
37,Maharashtra,"Rajiv Gandhi Medical College and Chhatrapati Shivaji Maharaj Hospital, Thane","Maharashtra University of Health Sciences, Nashik",State Govt.,1992,100
38,Maharashtra,"Seth GS Medical College, Mumbai","Maharashtra University of Health Sciences, Nashik",State Govt.,1925,250
39,Maharashtra,"Shri Vasant Rao Naik Govt. Medical College, Yavatmal","Maharashtra University of Health Sciences, Nashik",State Govt.,1989,200
40,Maharashtra,"Sri Bhausaheb Hire Government Medical College, Dhule","Maharashtra University of Health Sciences, Nashik",State Govt.,1988,150
41,Maharashtra,"SRTR Medical College, Ambajogai","Maharashtra University of Health Sciences, Nashik",State Govt.,1974,150
42,Maharashtra,"Topiwala National Medical College, Mumbai","Maharashtra University of Health Sciences, Nashik",State Govt.,1964,150
43,Maharashtra,"Government Medical College, Mumbai","Maharashtra University of Health Sciences, Nashik",State Govt.,2024,50
1,Manipur,"Government Medical College, Churachandpur",Manipur University,State Govt.,2022,100
2,Manipur,"Jawaharlal Nehru Institute of Medical Sciences,Porompet,Imphal",Manipur University,State Govt.,2010,150
3,Manipur,"Regional Institute of Medical Sciences, Imphal",Manipur University,State Govt.,1972,125
1,Meghalaya,"North Eastern Indira Gandhi Regional Instt. of Health and Medical Sciences, Shillong","North Eastern Hill University, Shillong",Central Govt.,2008,50
2,Meghalaya,Shillong Medical College,"North Eastern Hill University, Shillong",State Govt.,2025,50
1,Mizoram,"Zoram Medical College, Mizoram",Mizoram University,State Govt.,2018,100
1,Nagaland,Nagaland Institute of Medical Sciences & Research,Nagaland University,State Govt.,2023,100
1,Odisha,"AIIMS, Bhubaneswar","Statutory Autonomous, AIIMS",Central Govt.,2012,125
2,Odisha,"Dharanidhar Medical College & Hospital (DDMCH), Keonjhar","MSCBD University, Baripada",State Govt.,2022,100
3,Odisha,"Government Medical College & Hospital (Renamed as Bhima Bhoi Medical College & Hospital), Balangir",Sambalpur University,State Govt.,2018,100
4,Odisha,"Government Medical College & Hospital (Renamed as Fakir Mohan Medical College & Hospital), Balasore","Fakir Mohan University, Balasore",State Govt.,2018,100
5,Odisha,"MKCG Medical College, Berhampur",Berhampur University,State Govt.,1962,250
6,Odisha,"Pt. Raghunath Murmu Medical College and Hospital, Baripada","North Odisha University, Baripada, Odisha",State Govt.,2017,125
7,Odisha,"Saheed Rendo Majhi Medical College & Hospital, Bhawanipatna, Kalahandi",The Kalahandi university,State Govt.,2023,100
